Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	Q8 Answer,	
2019-04-07 01:44:54 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 02:12:28 Etc/GMT,	Vote Of No Confidence,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Vote of No Confidence,	Vote Of No Confidence,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 02:47:56 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Vote of No Confidence,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 02:54:26 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 02:57:52 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 03:11:35 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 03:28:44 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Vote of No Confidence,	
2019-04-07 03:47:36 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	John Sweeney,	John Sweeney,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 04:06:00 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Vote of No Confidence,	
2019-04-07 04:17:28 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 04:24:44 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 04:35:19 Etc/GMT,	John Sweeney,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 05:06:21 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	Vote of No Confidence,	
2019-04-07 05:08:37 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 05:18:26 Etc/GMT,	John Sweeney,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 05:37:06 Etc/GMT,	John Sweeney,	John Sweeney,	Vote Of No Confidence,	Truman Bui,	Vote of No Confidence,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 05:41:56 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Michelle Soo,	Truman Bui,	John Sweeney,	Gareth Moon,	Ryan Vansickle,	John Sweeney,	
2019-04-07 07:18:24 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 07:22:22 Etc/GMT,	Vote Of No Confidence,	John Sweeney,	Vote Of No Confidence,	John Sweeney,	Vote of No Confidence,	Vote Of No Confidence,	Sarbjot Mann,	John Sweeney,	
2019-04-07 07:30:00 Etc/GMT,	Kia Mirsalehi,	Vote of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	
2019-04-07 07:31:29 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-07 08:31:46 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	
2019-04-07 19:34:32 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	
2019-04-07 20:04:13 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Truman Bui,	Vote of No Confidence,	Vote Of No Confidence,	Vote Of No Confidence,	,	
2019-04-07 20:30:59 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 20:59:22 Etc/GMT,	Kia Mirsalehi,	Vote of No Confidence,	Mitchell Gale,	Truman Bui,	Vote of No Confidence,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 21:05:29 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	
2019-04-07 21:36:30 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Vote Of No Confidence,	Dusan kovacevic,	
2019-04-07 22:18:11 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	John Sweeney,	
